Year,LocationAbbr,LocationDesc,TopicDesc,Gender,Race,Age,Education
2006,SC,South Carolina,  Youth,Female,All Races,All Ages,High School
2011,ND,North Dakota,  Youth,Male,All Races,All Ages,Middle School
2000,MN,Minnesota,  Youth,Female,All Races,All Ages,High School
2007,MO,Missouri,  Youth,Female,All Races,All Ages,Middle School
2008,NJ,New Jersey,  Youth,Female,All Races,All Ages,Middle School
2003,RI,Rhode Island,  Youth,Overall,All Races,All Ages,High School
2006,SC,South Carolina, Youth,Male,All Races,All Ages,Middle School
2003,MI,Michigan,  Youth,Overall,All Races,All Ages,Middle School
2008,WI,Wisconsin, Youth,Male,All Races,All Ages,High School
2002,NC,North Carolina,  Youth,Male,All Races,All Ages,Middle School
2002,MD,Maryland, Youth,Male,All Races,All Ages,High School
2013,NC,North Carolina,  Youth,Female,All Races,All Ages,Middle School
2014,PA,Pennsylvania, Youth,Female,All Races,All Ages,Middle School
2004,NJ,New Jersey,  Youth,Overall,All Races,All Ages,Middle School
2001,PA,Pennsylvania,  Youth,Female,All Races,All Ages,Middle School
2005,MO,Missouri,  Youth,Male,All Races,All Ages,Middle School
2013,IL,Illinois,  Youth,Male,All Races,All Ages,Middle School
2005,NC,North Carolina,  Youth,Overall,All Races,All Ages,High School
2013,SC,South Carolina,  Youth,Male,All Races,All Ages,High School
2012,WI,Wisconsin, Youth,Female,All Races,All Ages,Middle School
2004,NH,New Hampshire,  Youth,Overall,All Races,All Ages,High School
2008,DE,Delaware,  Youth,Overall,All Races,All Ages,High School
2006,SC,South Carolina,  Youth,Female,All Races,All Ages,Middle School
2012,DE,Delaware,  Youth,Male,All Races,All Ages,Middle School
2001,FL,Florida,  Youth,Male,All Races,All Ages,High School
2007,VA,Virginia,  Youth,Male,All Races,All Ages,Middle School
2000,AR,Arkansas,  Youth,Overall,All Races,All Ages,High School
2004,MS,Mississippi,  Youth,Male,All Races,All Ages,High School
2003,MI,Michigan,  Youth,Male,All Races,All Ages,Middle School
2000,IN,Indiana, Youth,Female,All Races,All Ages,Middle School
2000,CA,California, Youth,Male,All Races,All Ages,High School
2005,RI,Rhode Island,  Youth,Male,All Races,All Ages,High School
1999,KS,Kansas,  Youth,Male,All Races,All Ages,Middle School
2007,AZ,Arizona,  Youth,Male,All Races,All Ages,Middle School
2014,MS,Mississippi, Youth,Overall,All Races,All Ages,Middle School
2013,IN,Indiana,  Youth,Female,All Races,All Ages,Middle School
2000,CA,California,  Youth,Male,All Races,All Ages,High School
2002,FL,Florida,  Youth,Overall,All Races,All Ages,High School
2002,OH,Ohio, Youth,Male,All Races,All Ages,High School
2004,AL,Alabama,  Youth,Female,All Races,All Ages,Middle School
2000,MS,Mississippi,  Youth,Overall,All Races,All Ages,Middle School
2015,IL,Illinois,  Youth,Male,All Races,All Ages,Middle School
2011,HI,Hawaii,  Youth,Female,All Races,All Ages,High School
2010,PA,Pennsylvania,  Youth,Male,All Races,All Ages,High School
2002,CT,Connecticut, Youth,Male,All Races,All Ages,High School
2000,KY,Kentucky,  Youth,Overall,All Races,All Ages,Middle School
2000,MN,Minnesota,  Youth,Female,All Races,All Ages,High School
2015,MO,Missouri,  Youth,Overall,All Races,All Ages,Middle School
2005,MO,Missouri, Youth,Female,All Races,All Ages,Middle School
2006,NE,Nebraska,  Youth,Male,All Races,All Ages,Middle School
2015,ND,North Dakota,  Youth,Female,All Races,All Ages,Middle School
2015,IL,Illinois,  Youth,Female,All Races,All Ages,Middle School
2004,IA,Iowa, Youth,Female,All Races,All Ages,Middle School
2004,NC,North Carolina,  Youth,Female,All Races,All Ages,High School
2000,MD,Maryland,  Youth,Male,All Races,All Ages,High School
2011,OK,Oklahoma,  Youth,Overall,All Races,All Ages,High School
2016,MS,Mississippi,  Youth,Overall,All Races,All Ages,Middle School
2010,IN,Indiana,  Youth,Male,All Races,All Ages,High School
2006,IL,Illinois,  Youth,Overall,All Races,All Ages,High School
2011,AZ,Arizona,  Youth,Overall,All Races,All Ages,Middle School
2010,AL,Alabama,  Youth,Overall,All Races,All Ages,High School
2006,PA,Pennsylvania,  Youth,Overall,All Races,All Ages,High School
2002,AL,Alabama,  Youth,Overall,All Races,All Ages,High School
2014,AL,Alabama,  Youth,Overall,All Races,All Ages,Middle School
2014,DE,Delaware,  Youth,Male,All Races,All Ages,Middle School
2005,AZ,Arizona,  Youth,Overall,All Races,All Ages,High School
2014,DE,Delaware,  Youth,Male,All Races,All Ages,Middle School
1999,NC,North Carolina,  Youth,Overall,All Races,All Ages,Middle School
2008,KY,Kentucky,  Youth,Overall,All Races,All Ages,High School
2007,OK,Oklahoma,  Youth,Overall,All Races,All Ages,Middle School
2002,NC,North Carolina, Youth,Overall,All Races,All Ages,Middle School
2009,HI,Hawaii,  Youth,Overall,All Races,All Ages,High School
2000,WV,West Virginia,  Youth,Female,All Races,All Ages,High School
2002,NY,New York,  Youth,Overall,All Races,All Ages,High School
2013,OH,Ohio,  Youth,Male,All Races,All Ages,Middle School
2004,IN,Indiana, Youth,Overall,All Races,All Ages,High School
2009,GA,Georgia,  Youth,Overall,All Races,All Ages,High School
2006,NE,Nebraska, Youth,Male,All Races,All Ages,Middle School
2007,VA,Virginia,  Youth,Female,All Races,All Ages,Middle School
2000,KY,Kentucky,  Youth,Male,All Races,All Ages,Middle School
2010,KY,Kentucky,  Youth,Overall,All Races,All Ages,Middle School
2005,NC,North Carolina,  Youth,Female,All Races,All Ages,Middle School
2006,PA,Pennsylvania,  Youth,Female,All Races,All Ages,Middle School
2013,IL,Illinois,  Youth,Female,All Races,All Ages,Middle School
2007,VA,Virginia,  Youth,Overall,All Races,All Ages,Middle School
2004,NH,New Hampshire,  Youth,Overall,All Races,All Ages,High School
2002,NC,North Carolina, Youth,Male,All Races,All Ages,High School
2000,NY,New York,  Youth,Male,All Races,All Ages,High School
2000,OH,Ohio,  Youth,Female,All Races,All Ages,High School
2000,MS,Mississippi,  Youth,Overall,All Races,All Ages,Middle School
2004,NH,New Hampshire,  Youth,Male,All Races,All Ages,High School
1999,MS,Mississippi,  Youth,Female,All Races,All Ages,High School
2010,PA,Pennsylvania,  Youth,Overall,All Races,All Ages,High School
2015,LA,Louisiana, Youth,Male,All Races,All Ages,Middle School
2009,OK,Oklahoma,  Youth,Male,All Races,All Ages,Middle School
2000,WV,West Virginia, Youth,Male,All Races,All Ages,High School
2000,TX,Texas, Youth,Female,All Races,All Ages,High School
2012,OH,Ohio,  Youth,Overall,All Races,All Ages,Middle School
1999,TN,Tennessee, Youth,Overall,All Races,All Ages,Middle School
2003,UT,Utah,  Youth,Male,All Races,All Ages,Middle School
2013,LA,Louisiana,  Youth,Male,All Races,All Ages,High School
2002,WI,Wisconsin, Youth,Overall,All Races,All Ages,High School
1999,TN,Tennessee, Youth,Female,All Races,All Ages,Middle School
2000,KS,Kansas,  Youth,Male,All Races,All Ages,High School
2003,RI,Rhode Island, Youth,Overall,All Races,All Ages,High School
2009,LA,Louisiana,  Youth,Female,All Races,All Ages,High School
2006,IA,Iowa,  Youth,Female,All Races,All Ages,High School
2000,KS,Kansas,  Youth,Female,All Races,All Ages,Middle School
2007,CT,Connecticut,  Youth,Female,All Races,All Ages,High School
2007,VA,Virginia,  Youth,Overall,All Races,All Ages,Middle School
2004,IA,Iowa,  Youth,Male,All Races,All Ages,High School
2002,MD,Maryland,  Youth,Female,All Races,All Ages,High School
2008,LA,Louisiana, Youth,Overall,All Races,All Ages,Middle School
2004,IN,Indiana,  Youth,Female,All Races,All Ages,High School
2004,VT,Vermont,  Youth,Overall,All Races,All Ages,Middle School
1999,MS,Mississippi,  Youth,Overall,All Races,All Ages,High School
2002,NC,North Carolina, Youth,Female,All Races,All Ages,High School
2011,ND,North Dakota, Youth,Male,All Races,All Ages,Middle School
2002,OK,Oklahoma, Youth,Overall,All Races,All Ages,High School
2001,FL,Florida, Youth,Female,All Races,All Ages,High School
2003,UT,Utah,  Youth,Female,All Races,All Ages,Middle School
1999,TN,Tennessee,  Youth,Female,All Races,All Ages,High School
2009,SD,South Dakota, Youth,Female,All Races,All Ages,Middle School
2015,NC,North Carolina,  Youth,Overall,All Races,All Ages,Middle School
2014,PA,Pennsylvania, Youth,Female,All Races,All Ages,Middle School
2000,IA,Iowa,  Youth,Male,All Races,All Ages,Middle School
2006,IL,Illinois,  Youth,Overall,All Races,All Ages,High School
2008,NJ,New Jersey, Youth,Overall,All Races,All Ages,High School
2007,MI,Michigan,  Youth,Male,All Races,All Ages,High School
2000,HI,Hawaii, Youth,Male,All Races,All Ages,High School
2007,SC,South Carolina,  Youth,Female,All Races,All Ages,High School
2009,MS,Mississippi,  Youth,Overall,All Races,All Ages,High School
2006,AL,Alabama,  Youth,Overall,All Races,All Ages,Middle School
2002,TN,Tennessee, Youth,Overall,All Races,All Ages,Middle School
2000,CT,Connecticut,  Youth,Overall,All Races,All Ages,High School
2005,CT,Connecticut,  Youth,Female,All Races,All Ages,Middle School
2009,KS,Kansas,  Youth,Male,All Races,All Ages,High School
2010,DE,Delaware,  Youth,Female,All Races,All Ages,Middle School
2005,WV,West Virginia, Youth,Overall,All Races,All Ages,High School
2008,WI,Wisconsin,  Youth,Overall,All Races,All Ages,Middle School
2003,MI,Michigan,  Youth,Overall,All Races,All Ages,High School
2002,NY,New York,  Youth,Male,All Races,All Ages,Middle School
2002,WI,Wisconsin,  Youth,Female,All Races,All Ages,High School
2001,NH,New Hampshire,  Youth,Overall,All Races,All Ages,Middle School
2015,IL,Illinois,  Youth,Overall,All Races,All Ages,Middle School
2009,SD,South Dakota, Youth,Overall,All Races,All Ages,Middle School
2013,NC,North Carolina,  Youth,Male,All Races,All Ages,High School
2011,NC,North Carolina,  Youth,Female,All Races,All Ages,High School
2006,IL,Illinois,  Youth,Female,All Races,All Ages,High School
1999,GA,Georgia, Youth,Overall,All Races,All Ages,Middle School
2008,MN,Minnesota,  Youth,Overall,All Races,All Ages,Middle School
2003,MI,Michigan,  Youth,Male,All Races,All Ages,Middle School
2000,DE,Delaware, Youth,Female,All Races,All Ages,High School
2002,MN,Minnesota,  Youth,Female,All Races,All Ages,Middle School
2012,NE,Nebraska,  Youth,Male,All Races,All Ages,High School
1999,NJ,New Jersey, Youth,Male,All Races,All Ages,High School
2011,HI,Hawaii, Youth,Overall,All Races,All Ages,High School
2000,OH,Ohio,  Youth,Male,All Races,All Ages,Middle School
2009,NC,North Carolina,  Youth,Overall,All Races,All Ages,Middle School
2007,WV,West Virginia,  Youth,Male,All Races,All Ages,Middle School
2013,MS,Mississippi, Youth,Overall,All Races,All Ages,Middle School
2010,AL,Alabama,  Youth,Male,All Races,All Ages,Middle School
2015,PA,Pennsylvania,  Youth,Overall,All Races,All Ages,High School
2014,AL,Alabama,  Youth,Male,All Races,All Ages,High School
2015,GA,Georgia, Youth,Female,All Races,All Ages,High School
2002,FL,Florida,  Youth,Overall,All Races,All Ages,High School
2007,ND,North Dakota,  Youth,Female,All Races,All Ages,Middle School
2004,WI,Wisconsin, Youth,Overall,All Races,All Ages,High School
2004,MS,Mississippi,  Youth,Female,All Races,All Ages,Middle School
2013,MS,Mississippi,  Youth,Female,All Races,All Ages,High School
2008,IN,Indiana,  Youth,Overall,All Races,All Ages,Middle School
2004,NJ,New Jersey, Youth,Male,All Races,All Ages,Middle School
2011,AZ,Arizona, Youth,Male,All Races,All Ages,Middle School
2010,IL,Illinois,  Youth,Male,All Races,All Ages,High School
2003,AZ,Arizona,  Youth,Female,All Races,All Ages,High School
2003,HI,Hawaii,  Youth,Overall,All Races,All Ages,Middle School
2016,DE,Delaware,  Youth,Overall,All Races,All Ages,Middle School
2013,NJ,New Jersey,  Youth,Female,All Races,All Ages,High School
2010,AL,Alabama, Youth,Overall,All Races,All Ages,High School
2006,KY,Kentucky,  Youth,Overall,All Races,All Ages,Middle School
2008,KY,Kentucky, Youth,Overall,All Races,All Ages,Middle School
2006,IA,Iowa,  Youth,Overall,All Races,All Ages,Middle School
1999,NC,North Carolina,  Youth,Overall,All Races,All Ages,Middle School
2013,LA,Louisiana,  Youth,Male,All Races,All Ages,Middle School
2013,NC,North Carolina, Youth,Overall,All Races,All Ages,High School
2015,WV,West Virginia, Youth,Male,All Races,All Ages,Middle School
2013,LA,Louisiana,  Youth,Female,All Races,All Ages,High School
2000,AZ,Arizona,  Youth,Female,All Races,All Ages,Middle School
2007,AZ,Arizona,  Youth,Overall,All Races,All Ages,Middle School
2015,GA,Georgia, Youth,Female,All Races,All Ages,High School
2015,NC,North Carolina, Youth,Female,All Races,All Ages,High School
1999,NJ,New Jersey, Youth,Male,All Races,All Ages,Middle School
2002,NC,North Carolina,  Youth,Overall,All Races,All Ages,High School
1999,AR,Arkansas,  Youth,Male,All Races,All Ages,Middle School
2000,AZ,Arizona,  Youth,Male,All Races,All Ages,Middle School
2010,AL,Alabama,  Youth,Overall,All Races,All Ages,Middle School
2012,NJ,New Jersey,  Youth,Male,All Races,All Ages,High School
2015,NC,North Carolina,  Youth,Overall,All Races,All Ages,Middle School
2008,PA,Pennsylvania,  Youth,Female,All Races,All Ages,High School
2000,WY,Wyoming,  Youth,Female,All Races,All Ages,Middle School
2011,NC,North Carolina,  Youth,Male,All Races,All Ages,Middle School
2010,NJ,New Jersey,  Youth,Female,All Races,All Ages,High School
2005,OK,Oklahoma,  Youth,Overall,All Races,All Ages,Middle School
2004,DE,Delaware, Youth,Male,All Races,All Ages,High School
2005,UT,Utah,  Youth,Male,All Races,All Ages,High School
2012,NE,Nebraska,  Youth,Female,All Races,All Ages,High School
2004,TN,Tennessee,  Youth,Overall,All Races,All Ages,Middle School
2000,MS,Mississippi, Youth,Male,All Races,All Ages,High School
2006,WI,Wisconsin,  Youth,Male,All Races,All Ages,Middle School
2001,NJ,New Jersey,  Youth,Female,All Races,All Ages,Middle School
2004,IN,Indiana, Youth,Male,All Races,All Ages,High School
2002,MS,Mississippi,  Youth,Overall,All Races,All Ages,High School
2015,NJ,New Jersey,  Youth,Male,All Races,All Ages,Middle School
2000,NH,New Hampshire,  Youth,Overall,All Races,All Ages,Middle School
2000,TX,Texas,  Youth,Overall,All Races,All Ages,Middle School
2005,GA,Georgia,  Youth,Overall,All Races,All Ages,High School
2002,PA,Pennsylvania, Youth,Male,All Races,All Ages,Middle School
2010,WI,Wisconsin,  Youth,Female,All Races,All Ages,High School
2000,CT,Connecticut, Youth,Overall,All Races,All Ages,High School
2000,CT,Connecticut, Youth,Female,All Races,All Ages,Middle School
2000,AZ,Arizona,  Youth,Overall,All Races,All Ages,Middle School
2004,WI,Wisconsin,  Youth,Male,All Races,All Ages,High School
2011,NC,North Carolina,  Youth,Overall,All Races,All Ages,Middle School
2007,WV,West Virginia,  Youth,Male,All Races,All Ages,Middle School
1999,MS,Mississippi,  Youth,Male,All Races,All Ages,High School
2006,NJ,New Jersey, Youth,Overall,All Races,All Ages,Middle School
2006,AL,Alabama, Youth,Female,All Races,All Ages,High School
2008,OH,Ohio,  Youth,Male,All Races,All Ages,High School
2006,IL,Illinois,  Youth,Overall,All Races,All Ages,High School
2015,PA,Pennsylvania,  Youth,Male,All Races,All Ages,High School
2009,OK,Oklahoma,  Youth,Female,All Races,All Ages,High School
2009,ND,North Dakota,  Youth,Female,All Races,All Ages,High School
2006,IN,Indiana,  Youth,Male,All Races,All Ages,High School
2004,WI,Wisconsin,  Youth,Male,All Races,All Ages,Middle School
2004,AL,Alabama,  Youth,Overall,All Races,All Ages,High School
2016,SD,South Dakota,  Youth,Female,All Races,All Ages,Middle School
2011,GA,Georgia,  Youth,Female,All Races,All Ages,Middle School
2001,NJ,New Jersey, Youth,Male,All Races,All Ages,High School
2000,TX,Texas, Youth,Male,All Races,All Ages,Middle School
2002,TN,Tennessee, Youth,Overall,All Races,All Ages,High School
2006,SC,South Carolina,  Youth,Female,All Races,All Ages,Middle School
2008,WI,Wisconsin,  Youth,Female,All Races,All Ages,High School
1999,NE,Nebraska,  Youth,Female,All Races,All Ages,Middle School
2003,CA,California,  Youth,Overall,All Races,All Ages,High School
2007,CT,Connecticut,  Youth,Male,All Races,All Ages,Middle School
2013,SC,South Carolina,  Youth,Male,All Races,All Ages,High School
2005,SC,South Carolina,  Youth,Male,All Races,All Ages,Middle School
2010,DE,Delaware,  Youth,Male,All Races,All Ages,High School
1999,OK,Oklahoma,  Youth,Overall,All Races,All Ages,Middle School
2008,WI,Wisconsin,  Youth,Female,All Races,All Ages,Middle School
1999,NJ,New Jersey,  Youth,Female,All Races,All Ages,Middle School
2012,MS,Mississippi,  Youth,Female,All Races,All Ages,High School
2013,OH,Ohio, Youth,Female,All Races,All Ages,Middle School
2009,ND,North Dakota,  Youth,Male,All Races,All Ages,High School
2003,MI,Michigan,  Youth,Female,All Races,All Ages,Middle School
2007,AR,Arkansas,  Youth,Overall,All Races,All Ages,High School
2006,NE,Nebraska,  Youth,Male,All Races,All Ages,High School
2008,KY,Kentucky,  Youth,Overall,All Races,All Ages,Middle School
1999,TN,Tennessee, Youth,Female,All Races,All Ages,Middle School
2008,OH,Ohio,  Youth,Female,All Races,All Ages,Middle School
2006,NJ,New Jersey,  Youth,Female,All Races,All Ages,High School
